x	y	z
0	0	0.19332276539990328
0	2	0.24015266967805665
0	4	0.2941894533368088
0	6	0.35470912359740586
0	8	0.4202655670144948
0	10	0.4886403531063123
0	12	0.5567222341801883
0	14	0.6224069508198093
0	16	0.6829639404602248
0	18	0.7367051765160073
0	20	0.7823066612017082
0	22	0.8198185410450523
0	24	0.8496962960526522
0	26	0.8722730709715364
0	28	0.8887792771201048
0	30	0.8995698841608647
0	32	0.9048606455240635
0	34	0.9048150988743009
0	36	0.8989513917572807
0	38	0.8870073802166671
0	40	0.8697267824610857
0	42	0.8478071728431965
0	44	0.8220398621085386
0	46	0.7967992552017802
0	48	0.7830316517488074
0	50	0.7916428667443437
0	52	0.8243611533020823
0	54	0.8710346310102522
0	56	0.9158861981880453
0	58	0.9496395200141806
0	60	0.9715874660318241
0	62	0.9845522104150902
0	64	0.9916889757880083
0	66	0.9954502145283226
0	68	0.9974168676136045
0	70	0.9984606593237423
0	72	0.9990260205766266
0	74	0.9993372537896165
0	76	0.9995103734926464
0	78	0.999605410550108
0	80	0.9996521917535723
0	82	0.9996640635205288
0	84	0.9996444199189366
0	86	0.9995891502416114
0	88	0.9994850041776454
0	90	0.9993035443398529
0	92	0.9989876605272425
0	94	0.9984275919321101
0	96	0.9974232563367816
0	98	0.9956158181393909
0	100	0.9924050258617604
2	0	0.13793733536481104
2	2	0.17464880507994282
2	4	0.21865267794425933
2	6	0.2701151124289388
2	8	0.3285960008129105
2	10	0.3928783095098923
2	12	0.46088772116822035
2	14	0.5301310462314677
2	16	0.5967330670634682
2	18	0.6588527504143576
2	20	0.714443090231734
2	22	0.7617198304264747
2	24	0.8006558231639579
2	26	0.8313999166935775
2	28	0.8548446905594006
2	30	0.8715773683669072
2	32	0.8820670403601059
2	34	0.8869543932785265
2	36	0.886639427730445
2	38	0.8815958041833503
2	40	0.872839199386335
2	42	0.8615565500762119
2	44	0.8492799220211086
2	46	0.8389665165591974
2	48	0.8358003917257391
2	50	0.8449403649016042
2	52	0.8677606291768688
2	54	0.8994664872741364
2	56	0.9310145051903507
2	58	0.9559918372815613
2	60	0.9731699512996272
2	62	0.9840448174175134
2	64	0.9905798907395803
2	66	0.994383600645543
2	68	0.996566613876706
2	70	0.9978190384913007
2	72	0.9985428941368323
2	74	0.9989650013465023
2	76	0.9992117206298567
2	78	0.999352317779513
2	80	0.9994235865302128
2	82	0.9994431802432079
2	84	0.9994161627338037
2	86	0.9993377189164862
2	88	0.9991910353039476
2	90	0.9989405995644167
2	92	0.99851871849253
2	94	0.997804524674172
2	96	0.9965949400908782
2	98	0.994555043495851
2	100	0.9911666307700238
4	0	0.09627252400449933
4	2	0.12386751859450675
4	4	0.15798941515012255
4	6	0.19937193886495128
4	8	0.2483962123070737
4	10	0.30488098355596194
4	12	0.3679343259877957
4	14	0.43558065891778946
4	16	0.5042765214194149
4	18	0.5717695087963263
4	20	0.6353566451566114
4	22	0.6919879012715425
4	24	0.7406622989256544
4	26	0.7808670360473782
4	28	0.8128654616934868
4	30	0.8373114265613582
4	32	0.8548063678372095
