LCR num	Tool	TP	FP	FN	TN	TPR	FPR
1	alcor2	11711	183015	56923	2006814	0.170629717049859	0.0835750188713365
1	alcor	14187	224431	54447	1965398	0.206705131567445	0.102487911156533
1	dotplot	51350	93914	17788	2096427	0.742717463623478	0.0428764288300315
1	flps2	66258	2076813	2376	113016	0.965381589299764	0.948390490764347
1	flps2 strict	61358	1573901	7276	615928	0.893988402249614	0.718732375906977
1	flps	65944	2056769	2690	133060	0.960806597313285	0.939237264644865
1	flps strict	60654	1462397	7980	727432	0.88373109537547	0.667813331543239
1	lcrfinder	25990	56375	42644	2133454	0.378675292129265	0.0257440192818709
1	seg	52001	211885	16633	1977944	0.757656555060174	0.0967586966836223
1	seg intermediate	43135	34007	25499	2155822	0.628478596613923	0.0155295230814826
1	seg strict	21144	2008	47490	2187821	0.308068887140484	0.000916966575928988
1	treks	28327	53362	40307	2136467	0.412725471340735	0.0243681127613161
1	Xstream	1296	16395	67338	2173434	0.018882769472856	0.00748688596232857
2	alcor2	7061	31572	26663	463052	0.209376111967738	0.0638303034223976
2	alcor	8694	41694	25030	452930	0.257798600403274	0.0842943326648121
2	dotplot	24852	30278	8897	464497	0.736377374144419	0.0611954929008135
2	flps2	33586	492406	138	2218	0.995907958723758	0.995515785728149
2	flps2 strict	32647	453604	1077	41020	0.968064286561499	0.91706831856117
2	flps	33591	491586	133	3038	0.996056221088839	0.993857960794462
2	flps strict	32621	445654	1103	48970	0.967293322263077	0.900995503655302
2	lcrfinder	14279	20109	19445	474515	0.423407662199027	0.0406551238920877
2	seg	27102	66869	6622	427755	0.803641323686395	0.135191579866727
2	seg intermediate	24062	14460	9662	480164	0.713497805716997	0.0292343274891635
2	seg strict	12275	803	21449	493821	0.363984106274463	0.00162345539237886
2	treks	16283	15754	17441	478870	0.482831218123591	0.0318504561040305
2	Xstream	879	6210	32845	488414	0.0260645237812834	0.012554991266093
3	alcor2	3121	8336	12764	136644	0.196474661630469	0.0574975858739137
3	alcor	3573	10789	12312	134191	0.224929178470255	0.0744171609877224
3	dotplot	13288	11935	2639	133144	0.83430652351353	0.0822655243005535
3	flps2	15872	144782	13	198	0.999181617878502	0.998634294385433
3	flps2 strict	15808	142308	77	2672	0.995152659741895	0.981569871706442
3	flps	15868	144006	17	974	0.998929807994964	0.993281831976824
3	flps strict	15766	141399	119	3581	0.992508655964746	0.975300041385018
3	lcrfinder	8165	7978	7720	137002	0.514006924771797	0.0550282797627259
3	seg	13841	25640	2044	119340	0.871325149512118	0.176851979583391
3	seg intermediate	12911	6902	2974	138078	0.81277935158955	0.0476065664229549
3	seg strict	6767	492	9118	144488	0.425999370475291	0.00339357152710719
3	treks	8641	5661	7244	139319	0.543972300912811	0.0390467650710443
3	Xstream	176	264	15709	144716	0.0110796348756689	0.00182094081942337
4	alcor2	1834	4740	6648	73068	0.216222589012025	0.060919185687847
4	alcor	2307	6671	6175	71137	0.271987738740863	0.0857366851737611
4	dotplot	6797	6484	1819	71346	0.788881151346332	0.0833097777206733
4	flps2	8482	77808	0	0	1	1
4	flps2 strict	8482	77808	0	0	1	1
4	flps	8482	77808	0	0	1	1
4	flps strict	8482	77808	0	0	1	1
4	lcrfinder	4411	4577	4071	73231	0.52004244282009	0.0588242854205223
4	seg	7148	14529	1334	63279	0.842725772223532	0.186728871067242
4	seg intermediate	6761	3330	1721	74478	0.797099740627211	0.0427976557680444
4	seg strict	3370	309	5112	77499	0.397311954727659	0.00397131400370142
4	treks	4605	5098	3877	72710	0.542914406979486	0.0655202549866338
4	Xstream	216	2370	8266	75438	0.0254656920537609	0.0304595928439235
5	alcor2	494	554	2175	15933	0.185088047958037	0.0336022320616243
5	alcor	581	651	2088	15836	0.217684526039715	0.0394856553648329
5	dotplot	2272	2227	397	14260	0.851255151742225	0.135076120579851
5	flps2	2669	16487	0	0	1	1
5	flps2 strict	2669	16487	0	0	1	1
5	flps	2669	16487	0	0	1	1
5	flps strict	2669	16487	0	0	1	1
5	lcrfinder	1384	1477	1285	15010	0.51854627201199	0.0895857342148359
5	seg	2340	4182	329	12305	0.876732858748595	0.253654394371323
5	seg intermediate	2155	1396	514	15091	0.807418508804796	0.0846727724874143
5	seg strict	1291	82	1378	16405	0.483701760959161	0.00497361557590829
5	treks	1197	880	1472	15607	0.448482577744474	0.0533753866682841
5	Xstream	0	0	2669	16487	0	0
6	alcor2	6792	8887	6138	84339	0.525290023201856	0.0953274837491687
6	alcor	7540	11084	5390	82142	0.583139984532096	0.118893870808573
6	dotplot	10197	8796	3386	85335	0.750717809025988	0.0934442425980814
6	flps2	12930	93226	0	0	1	1
6	flps2 strict	12930	93226	0	0	1	1
6	flps	12870	78614	60	14612	0.995359628770302	0.843262609143372
6	flps strict	12870	78614	60	14612	0.995359628770302	0.843262609143372
6	lcrfinder	6871	6280	6059	86946	0.531399845320959	0.067363181944951
6	seg	11892	19767	1038	73459	0.919721577726218	0.212033123806663
6	seg intermediate	10922	6800	2008	86426	0.844702242846094	0.0729410250359342
6	seg strict	5342	167	7588	93059	0.413147718484145	0.00179134576191191
6	treks	8951	8606	3979	84620	0.692266047950503	0.092313303155772
6	Xstream	2709	7372	10221	85854	0.209512761020882	0.0790766524360157
